Transdecoder protein IDs	Transcript ID	Expression value	Blast-P toxprot (sseqid)	E-value	Bitscore	Blast-P UniProt Apocrita (sseqid)	E-value	Bitscore	Blast-P UniProt All (sseqid)	E-value	Bitscore	Physiological association	Venom protein family
NODE_1472_length_5167_cov_6682.005086_g138_i2.p13	NODE_1472_length_5167_cov_6682.005086_g138_i2	2.789827253	Apamin	0.00000833	34.7	Apamin	0.000000883	34.7	NA	NA	NA	Toxin	Apamin
NODE_3030_length_3632_cov_15937.103998_g2195_i0.p11	NODE_3030_length_3632_cov_15937.103998_g2195_i0	8.855351561	Apamin	0.00000146	36.6	Apamin	0.000000155	36.6	NA	NA	NA	Toxin	Apamin
NODE_835_length_6390_cov_9000.415943_g618_i0.p10	NODE_835_length_6390_cov_9000.415943_g618_i0	10.90223829	Apamin	0.00000146	36.6	Apamin	0.000000155	36.6	NA	NA	NA	Toxin	Apamin
NODE_11225_length_1162_cov_51432.834688_g2195_i1.p4	NODE_11225_length_1162_cov_51432.834688_g2195_i1	13.00180871	Apamin	0.00000146	36.6	Apamin	0.000000155	36.6	NA	NA	NA	Toxin	Apamin
NODE_5506_length_2432_cov_11853.814472_g138_i9.p8	NODE_5506_length_2432_cov_11853.814472_g138_i9	14.50973054	Apamin	0.00000833	34.7	Apamin	0.000000883	34.7	NA	NA	NA	Toxin	Apamin
NODE_7581_length_1820_cov_40483.276487_g138_i12.p7	NODE_7581_length_1820_cov_40483.276487_g138_i12	226.7294771	Apamin	0.00000833	34.7	Apamin	0.000000883	34.7	NA	NA	NA	Toxin	Apamin
NODE_19236_length_526_cov_94225.813163_g15043_i0.p3	NODE_19236_length_526_cov_94225.813163_g15043_i0	283.5956994	Apamin	0.00000146	36.6	Apamin	0.000000155	36.6	NA	NA	NA	Toxin	Apamin
NODE_10042_length_1345_cov_20691.368992_g138_i17.p2	NODE_10042_length_1345_cov_20691.368992_g138_i17	5082.365988	Apamin	0.00000833	34.7	Apamin	0.000000883	34.7	NA	NA	NA	Toxin	Apamin
TRINITY_DN1_c0_g1_i1.p6	TRINITY_DN1_c0_g1_i1	36265.1685	Apamin	0.00000108	37	Apamin	0.000000114	37	NA	NA	NA	Toxin	Apamin
TRINITY_DN1_c0_g1_i1.p8	TRINITY_DN1_c0_g1_i1	36265.1685	Apamin	0.0000623	32.3	Apamin	0.00000661	32.3	NA	NA	NA	Toxin	Apamin
